date,taiex,maint_130,maint_140,maint_150,maint_160,ma20_pct,ma60_pct,total_margin_ratio,twse_margin_ratio,tpex_margin_ratio
2026-04-01,33174.82,1,5,51,413,35.9,35.0,187.8,189.7,214.2
2026-04-02,32572.43,2,9,80,501,30.4,32.9,184.2,186.1,209.9
2026-04-07,33229.82,1,9,64,464,34.0,33.6,190.1,192.0,220.8
2026-04-08,34761.38,2,4,26,226,47.2,39.6,199.8,201.8,232.8
2026-04-09,34861.16,3,5,37,281,45.6,39.4,200.2,202.1,235.1
2026-04-10,35417.83,2,5,24,270,49.1,42.1,203.5,205.6,240.6
2026-04-13,35457.29,3,5,19,211,52.3,44.8,204.8,206.9,241.6
2026-04-14,36296.12,3,4,18,160,57.2,47.1,205.5,207.6,240.1
2026-04-15,36722.14,3,3,12,141,59.9,48.8,205.7,207.7,240.7
2026-04-16,37132.02,3,3,11,104,64.9,50.8,208.1,210.2,243.4
2026-04-17,36804.34,3,3,12,112,65.0,52.1,210.8,212.9,252.5
2026-04-20,36958.8,3,3,18,128,63.4,51.6,214.4,216.6,262.3
2026-04-21,37605.11,3,3,13,111,65.6,53.9,217.8,220.0,266.2
2026-04-22,37878.47,3,4,15,114,67.1,55.4,218.9,221.0,266.2
2026-04-23,37714.15,3,6,26,236,51.5,47.7,210.1,212.2,252.3
2026-04-24,38932.4,3,9,33,284,47.6,46.3,210.3,212.4,247.7
2026-04-27,39616.63,4,10,53,392,41.3,43.1,207.8,209.8,238.7
2026-04-28,39521.73,2,6,38,298,46.3,45.1,212.1,214.2,248.6
2026-04-29,39303.5,3,6,31,265,48.6,45.6,212.0,214.2,250.4
2026-04-30,38926.63,3,5,41,324,43.5,44.3,212.5,214.6,252.4
