date,taiex,maint_130,maint_140,maint_150,maint_160,ma20_pct,ma60_pct,total_margin_ratio,twse_margin_ratio,tpex_margin_ratio
2026-06-01,45337.91,2,7,31,148,65.4,57.8,226.1,228.3,250.5
2026-06-02,45557.31,2,4,28,180,64.5,59.9,223.1,225.3,244.4
2026-06-03,46459.16,2,4,20,128,73.6,65.8,224.7,227.0,248.9
2026-06-04,45677.46,2,6,23,151,72.8,66.9,217.2,219.3,238.1
2026-06-05,45070.94,3,5,34,181,68.5,65.4,213.1,215.2,234.9
2026-06-08,43502.78,4,25,133,408,46.6,51.7,203.2,205.2,220.4
2026-06-09,44704.44,2,12,58,308,55.6,56.6,209.9,212.0,224.2
2026-06-10,43225.54,7,39,178,469,46.6,51.1,197.6,199.6,209.9
2026-06-11,43149.46,8,42,176,477,45.3,50.7,197.9,199.9,206.5
2026-06-12,44169.04,5,21,119,378,53.4,55.3,202.8,204.8,212.3
2026-06-15,45396.99,1,17,71,298,58.8,59.4,208.5,210.6,215.7
2026-06-16,45809.19,3,14,97,374,51.0,56.5,208.9,211.0,216.3
2026-06-17,45877.39,0,13,73,320,54.1,58.2,210.4,212.5,215.9
2026-06-18,46465.2,0,2,36,258,55.9,59.9,215.0,217.2,222.1
2026-06-22,47741.51,0,3,23,214,57.6,60.3,217.8,219.9,223.1
2026-06-23,47100.65,1,7,44,343,48.1,55.5,211.1,213.2,217.8
2026-06-24,46043.6,0,4,43,320,48.2,56.1,208.8,210.9,213.9
2026-06-25,46255.26,2,9,46,382,44.4,54.9,209.2,211.2,212.2
2026-06-26,44571.76,5,21,176,652,27.8,42.5,197.9,199.9,200.6
2026-06-29,44999.9,4,21,142,603,32.2,46.1,197.8,199.8,197.0
2026-06-30,46125.91,1,10,69,388,40.5,50.3,204.7,206.8,202.5
