date,taiex,maint_130,maint_140,maint_150,maint_160,ma20_pct,ma60_pct,total_margin_ratio,twse_margin_ratio,tpex_margin_ratio
2025-05-02,20787.64,0,0,2,17,90.8,17.7,165.0,166.7,176.3
2025-05-05,20532.99,0,0,5,38,81.4,16.8,161.0,162.6,170.3
2025-05-06,20522.59,0,0,6,28,86.5,19.2,162.2,163.8,171.3
2025-05-07,20546.49,0,1,7,40,82.7,18.5,161.2,162.8,170.2
2025-05-08,20543.4,0,0,3,23,84.7,21.8,163.6,165.2,173.8
2025-05-09,20915.04,0,0,4,31,84.2,23.6,165.8,167.4,177.9
2025-05-12,21129.54,0,0,2,24,86.5,26.1,168.6,170.3,180.5
2025-05-13,21330.14,0,0,0,27,85.3,28.4,170.0,171.7,182.1
2025-05-14,21782.87,0,0,1,30,86.8,33.5,173.1,174.9,184.6
2025-05-15,21730.25,0,0,2,35,84.2,33.1,172.4,174.1,183.7
2025-05-16,21843.69,0,0,6,43,82.9,35.1,172.1,173.8,181.5
2025-05-19,21523.83,0,0,7,77,75.5,32.5,168.6,170.2,177.2
2025-05-20,21526.03,0,0,2,67,73.0,34.2,169.2,170.9,177.2
2025-05-21,21803.91,0,0,3,47,76.7,39.3,171.8,173.5,180.8
2025-05-22,21670.96,0,0,3,81,69.4,38.1,170.6,172.3,178.8
2025-05-23,21652.24,0,0,4,97,66.5,39.5,170.5,172.2,180.0
2025-05-26,21536.57,0,1,7,135,61.7,40.6,169.5,171.2,178.3
2025-05-27,21336.54,1,1,10,204,50.9,37.2,167.9,169.6,176.5
2025-05-28,21357.72,1,2,14,242,45.6,37.6,167.4,169.1,175.1
2025-05-29,21347.3,1,2,16,244,46.3,38.1,167.7,169.4,175.1
