date,taiex,maint_130,maint_140,maint_150,maint_160,ma20_pct,ma60_pct,total_margin_ratio,twse_margin_ratio,tpex_margin_ratio
2024-09-02,22235.1,0,0,2,54,73.2,37.3,175.3,177.1,184.2
2024-09-03,22092.21,0,0,3,106,59.7,35.2,173.7,175.4,181.9
2024-09-04,21092.75,0,3,47,527,23.6,22.8,164.8,166.5,171.5
2024-09-05,21187.71,0,0,59,537,25.2,24.0,164.6,166.2,170.5
2024-09-06,21435.19,0,2,43,510,27.3,25.6,165.8,167.4,171.2
2024-09-09,21144.44,1,4,65,548,25.6,24.4,166.1,167.7,173.1
2024-09-10,21064.08,2,12,128,712,20.1,21.6,162.9,164.5,169.5
2024-09-11,21031.0,2,18,122,708,19.9,21.6,163.4,165.0,169.8
2024-09-12,21653.25,3,12,59,487,27.1,24.9,168.3,170.0,176.1
2024-09-13,21759.65,2,7,34,349,32.8,26.8,169.7,171.4,178.9
2024-09-16,21850.08,2,4,30,246,42.1,30.6,170.9,172.6,181.0
2024-09-18,21678.84,2,3,31,286,39.2,31.0,168.8,170.4,178.5
2024-09-19,22042.69,2,2,11,139,50.5,35.1,173.3,175.0,185.4
2024-09-20,22159.42,2,5,23,189,51.5,36.5,173.2,174.9,186.3
2024-09-23,22285.53,4,21,45,170,55.2,37.4,174.6,176.3,188.3
2024-09-24,22431.78,4,9,43,173,54.5,37.6,174.4,176.1,187.4
2024-09-25,22761.6,4,6,33,111,64.5,42.6,177.2,179.0,191.1
2024-09-26,22858.81,4,6,33,125,62.7,42.6,177.0,178.8,192.3
2024-09-27,22822.79,2,5,25,109,68.9,47.5,176.9,178.6,190.7
2024-09-30,22224.54,2,5,26,137,63.8,44.1,173.4,175.1,186.8
