date,taiex,maint_130,maint_140,maint_150,maint_160,ma20_pct,ma60_pct,total_margin_ratio,twse_margin_ratio,tpex_margin_ratio
2026-08-03,43386.41,20,90,339,828,18.9,21.5,176.8,178.5,170.1
2026-08-04,43360.66,10,29,134,656,23.4,23.0,183.5,185.3,178.7
2026-08-05,44611.6,2,12,70,406,33.4,25.5,186.9,188.8,183.6
2026-08-06,44396.7,2,10,55,371,39.2,26.8,191.3,193.2,187.6
2026-08-07,44225.91,2,12,57,331,42.3,28.4,187.9,189.8,184.3
2026-08-10,44928.76,3,11,27,187,55.7,32.4,192.9,194.8,188.3
2026-08-11,45120.72,3,9,34,186,55.3,31.3,193.9,195.8,190.2
2026-08-12,45518.07,1,3,13,135,61.1,33.1,197.0,198.9,195.2
2026-08-13,46021.48,1,2,9,132,62.3,33.5,199.3,201.3,198.3
2026-08-14,45811.01,2,4,16,163,56.0,31.2,198.3,200.3,195.8
2026-08-17,45857.27,2,4,22,167,57.3,31.6,199.3,201.3,197.1
2026-08-18,45308.68,3,5,29,226,48.6,28.8,194.9,196.8,193.2
2026-08-19,44719.35,2,5,24,214,48.6,27.5,191.7,193.6,190.1
2026-08-20,44933.74,2,4,22,135,57.0,31.2,194.0,196.0,194.3
2026-08-21,45224.29,2,3,19,141,61.3,33.6,193.2,195.1,195.7
