date,taiex,maint_130,maint_140,maint_150,maint_160,ma20_pct,ma60_pct,total_margin_ratio,twse_margin_ratio,tpex_margin_ratio
2026-05-04,40705.14,3,4,31,303,46.5,46.5,219.2,221.4,261.0
2026-05-05,40769.29,3,4,22,245,50.3,49.4,223.4,225.7,272.6
2026-05-06,41138.85,3,5,27,282,47.4,48.7,222.7,224.9,271.9
2026-05-07,41933.78,2,6,21,244,49.9,50.7,225.1,227.4,275.2
2026-05-08,41603.94,2,6,30,284,47.3,50.7,220.2,222.4,269.1
2026-05-11,41790.06,1,2,39,283,47.5,51.0,226.9,229.2,277.8
2026-05-12,41898.32,1,4,42,332,44.7,49.7,226.2,228.5,275.2
2026-05-13,41374.5,3,6,53,392,40.9,48.2,220.2,222.4,264.5
2026-05-14,41751.75,4,12,82,460,40.0,47.0,221.4,223.6,266.4
2026-05-15,41172.36,3,18,115,557,35.4,44.9,213.8,216.0,252.9
2026-05-18,40891.82,6,21,97,528,37.1,44.9,213.1,215.2,250.4
2026-05-19,40175.56,4,19,120,543,34.2,43.5,207.1,209.2,241.9
2026-05-20,40020.82,6,21,105,510,35.4,43.7,205.7,207.7,237.4
2026-05-21,41368.21,2,9,43,322,46.1,48.0,214.3,216.5,246.2
2026-05-22,42267.97,2,4,25,234,52.1,51.2,221.5,223.7,252.2
2026-05-25,43644.4,2,4,21,226,54.6,52.6,227.9,230.2,258.4
2026-05-26,43525.37,1,5,23,235,54.0,51.8,228.1,230.4,261.2
2026-05-27,44256.8,1,5,41,285,49.3,50.8,225.6,227.9,254.6
2026-05-28,43636.44,1,7,43,316,45.9,50.2,219.1,221.2,246.5
2026-05-29,44732.94,1,7,36,230,54.6,53.4,223.0,225.2,249.8
