date,taiex,maint_130,maint_140,maint_150,maint_160,ma20_pct,ma60_pct,total_margin_ratio,twse_margin_ratio,tpex_margin_ratio
2024-05-02,20222.44,1,2,10,153,56.1,55.3,180.7,182.5,192.7
2024-05-03,20330.32,0,2,16,173,56.5,55.0,180.1,181.9,192.5
2024-05-06,20523.31,0,1,14,142,60.6,56.6,180.4,182.2,192.6
2024-05-07,20653.53,0,1,15,125,60.2,55.4,180.2,182.0,193.0
2024-05-08,20700.51,0,1,14,111,62.1,56.5,181.1,182.9,193.8
2024-05-09,20560.77,0,2,19,165,55.7,54.0,178.4,180.1,189.6
2024-05-10,20708.84,0,6,22,155,59.0,53.9,177.6,179.3,186.5
2024-05-13,20857.71,0,6,25,179,57.6,53.7,177.1,178.9,185.6
2024-05-14,20985.85,0,5,14,173,58.9,54.2,179.0,180.8,187.4
2024-05-15,21147.21,0,4,15,167,59.5,54.4,180.2,182.0,191.3
2024-05-16,21304.26,0,3,11,119,64.1,56.4,181.4,183.2,192.7
2024-05-17,21258.47,1,2,11,87,67.0,58.8,182.3,184.1,194.4
2024-05-20,21271.63,0,3,11,98,66.4,59.4,181.7,183.5,194.2
2024-05-21,21236.75,1,3,13,102,62.3,59.4,182.5,184.3,197.2
2024-05-22,21551.83,0,1,12,88,65.0,61.9,184.2,186.0,200.0
2024-05-23,21607.43,0,2,22,188,49.8,55.9,182.8,184.7,198.9
2024-05-24,21565.34,0,1,19,160,50.5,57.0,184.6,186.4,200.9
2024-05-27,21803.77,0,1,8,129,55.6,59.7,186.7,188.5,201.0
2024-05-28,21858.41,0,0,5,84,65.0,66.7,188.3,190.2,204.0
2024-05-29,21662.5,0,0,2,71,63.5,66.6,187.4,189.3,204.6
2024-05-30,21364.48,0,0,7,116,56.9,63.3,184.9,186.7,201.9
2024-05-31,21174.22,0,0,6,86,61.6,64.6,183.8,185.7,202.2
