date,taiex,maint_130,maint_140,maint_150,maint_160,ma20_pct,ma60_pct,total_margin_ratio,twse_margin_ratio,tpex_margin_ratio
2025-12-01,27342.53,3,3,10,153,49.6,34.4,178.1,179.9,184.0
2025-12-02,27564.27,2,3,9,142,51.8,36.9,178.1,179.9,184.0
2025-12-03,27793.04,2,3,7,88,60.4,38.9,178.4,180.2,184.5
2025-12-04,27795.71,2,3,4,72,64.8,40.5,178.3,180.1,184.5
2025-12-05,27980.89,2,2,3,68,60.0,39.7,179.5,181.3,185.9
2025-12-08,28303.78,2,2,5,62,61.3,40.1,180.4,182.2,184.9
2025-12-09,28182.6,2,2,5,71,60.0,40.4,181.7,183.5,190.0
2025-12-10,28400.73,2,2,8,85,56.0,39.7,181.8,183.6,190.0
2025-12-11,28024.75,2,2,7,108,54.5,38.0,180.9,182.7,189.6
2025-12-12,28198.02,1,1,6,96,57.9,40.0,182.4,184.2,191.5
2025-12-15,27866.94,1,1,4,98,59.9,41.6,180.5,182.3,189.3
2025-12-16,27536.66,1,1,7,174,46.1,37.5,176.3,178.1,184.3
2025-12-17,27525.17,1,1,8,149,46.8,37.3,176.3,178.0,183.3
2025-12-18,27468.53,1,1,11,193,43.0,36.5,174.8,176.5,181.1
2025-12-19,27696.35,1,1,9,137,49.1,40.4,177.5,179.2,184.1
2025-12-22,28149.64,1,1,9,86,57.0,44.7,180.9,182.7,190.0
2025-12-23,28310.47,0,0,6,96,52.8,44.3,181.3,183.1,191.5
2025-12-24,28371.98,0,0,2,111,48.9,44.1,182.3,184.2,193.0
2025-12-26,28556.02,0,0,2,101,49.4,44.6,183.2,185.0,193.8
2025-12-29,28810.89,0,0,1,103,53.2,47.8,183.8,185.6,194.9
2025-12-30,28707.13,0,0,3,120,48.2,45.5,184.5,186.3,195.9
2025-12-31,28963.6,0,0,3,125,47.8,45.5,185.3,187.1,197.8
