date,taiex,maint_130,maint_140,maint_150,maint_160,ma20_pct,ma60_pct,total_margin_ratio,twse_margin_ratio,tpex_margin_ratio
2025-01-02,22832.06,2,4,27,318,32.0,29.2,168.7,170.4,179.4
2025-01-03,22908.3,2,4,34,381,29.8,27.3,168.1,169.8,178.0
2025-01-06,23547.71,0,6,21,214,40.0,30.7,171.0,172.7,180.3
2025-01-07,23651.27,1,5,23,253,35.9,30.5,171.4,173.1,180.4
2025-01-08,23407.33,0,6,23,236,40.0,31.7,170.9,172.7,179.5
2025-01-09,23081.13,1,4,52,504,27.0,25.8,166.5,168.1,175.0
2025-01-10,23011.86,0,3,59,535,26.9,24.5,165.6,167.3,174.9
2025-01-13,22488.33,0,18,189,833,16.8,18.7,160.3,161.9,167.6
2025-01-14,22797.52,0,5,77,635,22.4,21.6,163.1,164.7,171.4
2025-01-15,22514.57,0,8,89,638,22.1,20.4,162.0,163.6,170.9
2025-01-16,23025.1,0,1,37,478,28.1,23.6,166.1,167.7,177.6
2025-01-17,23148.08,0,1,51,464,30.0,24.1,165.7,167.3,177.8
2025-01-20,23266.82,0,0,20,320,34.6,26.8,168.4,170.1,180.2
2025-01-21,23300.01,0,0,24,307,36.7,27.8,168.7,170.4,181.6
2025-01-22,23525.41,0,0,12,219,44.4,31.0,171.0,172.7,186.1
