date,taiex,maint_130,maint_140,maint_150,maint_160,ma20_pct,ma60_pct,total_margin_ratio,twse_margin_ratio,tpex_margin_ratio
2024-07-01,23058.57,0,2,10,133,55.8,64.0,186.5,188.4,200.8
2024-07-02,22879.37,0,1,10,159,53.4,62.0,185.4,187.2,199.9
2024-07-03,23172.43,0,1,10,112,60.0,65.0,186.8,188.7,200.5
2024-07-04,23522.53,0,1,12,88,63.3,67.3,188.8,190.7,202.5
2024-07-05,23556.59,0,0,8,70,69.6,70.6,190.0,191.9,204.8
2024-07-08,23878.15,1,1,17,127,64.2,68.2,187.8,189.7,201.0
2024-07-09,23900.08,0,2,18,191,54.0,63.9,187.0,188.9,199.6
2024-07-10,24007.08,0,0,14,170,57.3,65.2,188.5,190.4,201.3
2024-07-11,24390.03,0,0,17,179,55.4,64.7,188.3,190.2,199.1
2024-07-12,23916.93,0,0,14,190,54.7,63.8,185.6,187.5,195.4
2024-07-15,23879.36,0,0,23,197,51.8,62.9,185.2,187.0,195.0
2024-07-16,23997.25,0,0,17,192,52.6,63.3,185.6,187.5,195.6
2024-07-17,23769.82,0,0,18,159,54.9,63.8,185.1,187.0,195.5
2024-07-18,23398.47,0,1,23,246,47.4,59.8,181.7,183.5,191.2
2024-07-19,22869.26,0,1,41,459,31.6,48.5,177.0,178.8,186.1
2024-07-22,22256.99,2,7,144,750,22.3,38.6,171.9,173.6,181.5
2024-07-23,22871.84,2,5,83,594,27.8,42.2,175.4,177.2,185.0
2024-07-26,22119.21,4,15,154,754,22.5,37.2,170.7,172.4,178.7
2024-07-29,22164.49,6,43,304,892,18.8,31.8,167.2,168.9,173.3
2024-07-30,22223.57,5,15,169,791,21.4,34.5,170.6,172.3,177.9
2024-07-31,22199.35,5,19,169,746,23.1,34.4,170.3,172.0,177.1
