date,taiex,maint_130,maint_140,maint_150,maint_160,ma20_pct,ma60_pct,total_margin_ratio,twse_margin_ratio,tpex_margin_ratio
2024-01-02,17853.76,0,0,0,0,0.0,0.0,178.0,179.7,186.7
2024-01-03,17559.31,0,0,0,2,22.3,22.3,176.0,177.7,183.8
2024-01-04,17549.65,0,0,0,15,25.6,25.6,174.7,176.5,181.1
2024-01-05,17519.14,0,0,0,10,37.6,37.6,175.4,177.2,182.1
2024-01-08,17572.66,0,0,1,31,38.0,38.0,175.0,176.8,180.8
2024-01-09,17535.49,0,0,2,74,26.2,26.2,174.4,176.1,180.2
2024-01-10,17465.63,0,0,3,121,24.1,24.1,174.3,176.0,180.9
2024-01-11,17545.32,0,0,4,80,32.9,32.9,176.7,178.5,184.2
2024-01-12,17512.83,0,0,4,99,29.2,29.2,176.2,178.0,183.8
2024-01-15,17546.82,0,0,1,51,40.3,40.3,177.1,178.9,184.3
2024-01-16,17346.87,0,0,2,129,29.4,29.4,174.6,176.4,184.2
2024-01-17,17161.79,0,0,2,339,21.7,21.7,173.2,174.9,181.2
2024-01-18,17227.79,0,1,5,314,22.0,22.0,173.0,174.7,180.7
2024-01-19,17681.52,0,0,4,202,27.1,27.1,175.6,177.3,183.5
2024-01-22,17815.1,0,0,4,113,36.1,36.1,179.0,180.8,188.0
2024-01-23,17874.59,0,1,4,80,41.0,41.0,179.4,181.2,188.2
2024-01-24,17875.83,0,1,5,54,46.7,46.7,178.6,180.4,187.8
2024-01-25,18002.62,0,0,3,89,41.7,41.7,176.9,178.7,187.1
2024-01-26,17995.03,0,0,8,100,42.2,42.2,176.6,178.4,188.0
2024-01-29,18119.63,0,0,6,61,48.4,48.4,178.9,180.7,191.2
2024-01-30,18034.63,0,0,6,93,45.0,44.0,179.3,181.1,191.7
2024-01-31,17889.56,0,0,4,81,45.7,43.8,179.2,180.9,194.7
