date,taiex,maint_130,maint_140,maint_150,maint_160,ma20_pct,ma60_pct,total_margin_ratio,twse_margin_ratio,tpex_margin_ratio
2025-11-03,28334.59,1,3,16,308,36.1,35.7,187.9,189.7,205.2
2025-11-04,28116.56,1,4,20,450,26.8,31.7,183.2,185.0,199.3
2025-11-05,27717.06,1,2,34,500,26.1,30.2,181.6,183.4,196.0
2025-11-06,27899.45,1,5,24,342,34.4,33.9,184.0,185.8,195.4
2025-11-07,27651.41,2,6,38,453,31.0,32.6,180.6,182.4,191.5
2025-11-10,27869.51,2,5,50,476,30.3,30.9,182.1,183.9,191.3
2025-11-11,27784.95,3,7,58,464,30.5,30.7,181.8,183.6,190.7
2025-11-12,27947.09,2,8,42,347,37.6,33.8,183.1,184.9,193.2
2025-11-13,27903.56,1,11,41,346,40.0,35.0,182.8,184.6,190.9
2025-11-14,27397.5,2,13,68,446,34.5,32.5,178.8,180.6,187.0
2025-11-17,27447.31,4,13,104,564,29.4,29.2,178.8,180.6,186.5
2025-11-18,26756.12,3,26,193,755,19.4,23.0,172.3,174.0,177.9
2025-11-19,26580.12,5,32,195,825,17.8,22.6,170.7,172.4,175.3
2025-11-20,27426.36,4,13,85,626,24.7,26.1,175.0,176.8,180.1
2025-11-21,26434.94,4,21,185,795,18.5,21.6,167.8,169.5,172.4
2025-11-24,26504.24,4,10,115,672,25.3,24.9,169.9,171.6,175.5
2025-11-25,26912.17,3,6,43,488,28.9,26.7,173.3,175.0,178.7
2025-11-26,27409.54,3,4,24,253,41.5,31.0,175.6,177.4,180.7
2025-11-27,27554.53,3,4,15,190,46.4,33.5,177.9,179.7,183.0
2025-11-28,27626.48,3,4,10,121,55.0,35.5,179.8,181.6,186.0
