date,taiex,maint_130,maint_140,maint_150,maint_160,ma20_pct,ma60_pct,total_margin_ratio,twse_margin_ratio,tpex_margin_ratio
2025-07-01,22553.72,2,3,19,247,41.7,49.9,171.8,173.5,185.5
2025-07-02,22577.74,2,3,14,192,43.3,50.9,172.5,174.3,187.1
2025-07-03,22712.97,3,3,11,139,52.1,54.0,173.9,175.7,189.6
2025-07-04,22547.5,2,3,16,272,37.7,44.5,171.3,173.0,186.9
2025-07-07,22428.72,2,4,26,364,31.1,39.6,169.3,171.0,183.9
2025-07-08,22362.27,2,4,37,469,27.2,35.0,168.9,170.6,183.8
2025-07-09,22527.01,2,5,26,374,31.4,36.7,171.3,173.0,186.9
2025-07-10,22693.25,2,5,29,389,32.8,36.2,171.8,173.5,187.6
2025-07-11,22751.03,1,4,16,247,41.7,39.3,173.0,174.7,190.0
2025-07-14,22614.97,1,5,22,319,35.9,36.5,169.6,171.3,186.5
2025-07-15,22835.94,1,4,20,259,38.7,36.7,171.6,173.3,189.0
2025-07-16,23042.9,2,4,17,209,43.8,38.9,172.8,174.5,191.2
2025-07-17,23113.28,2,4,12,128,54.1,42.5,175.0,176.7,194.9
2025-07-18,23383.13,1,3,11,150,53.5,41.1,175.9,177.7,194.7
2025-07-21,23340.56,3,4,16,159,51.8,41.1,175.2,176.9,193.5
2025-07-22,22987.92,3,5,32,341,31.4,32.1,171.1,172.8,189.3
2025-07-23,23318.67,3,4,20,179,47.0,39.0,173.8,175.6,190.5
2025-07-24,23373.73,3,4,24,180,48.8,38.7,176.5,178.2,193.0
2025-07-25,23364.38,1,6,23,168,48.7,37.5,175.8,177.5,192.0
2025-07-28,23412.98,2,4,19,165,48.8,38.6,177.4,179.2,195.4
2025-07-29,23201.52,2,4,25,233,40.4,34.8,175.8,177.6,193.4
2025-07-30,23461.72,2,4,24,194,46.6,37.7,173.7,175.4,196.2
2025-07-31,23542.52,2,5,26,242,40.1,33.7,178.3,180.1,199.2
