date,taiex,maint_130,maint_140,maint_150,maint_160,ma20_pct,ma60_pct,total_margin_ratio,twse_margin_ratio,tpex_margin_ratio
2026-07-01,47018.99,1,18,71,414,39.9,49.7,204.8,206.8,204.4
2026-07-02,46744.16,3,12,47,299,46.8,53.9,204.3,206.3,204.7
2026-07-03,46780.62,1,3,28,184,63.1,61.0,205.2,207.2,207.6
2026-07-06,46556.39,0,3,21,190,64.1,61.7,202.3,204.3,206.2
2026-07-07,45479.11,2,11,92,378,44.2,51.5,193.5,195.4,198.3
2026-07-08,45734.41,2,12,91,402,42.3,49.8,194.8,196.7,201.3
2026-07-09,45354.61,0,15,99,435,39.7,48.3,194.9,196.9,201.9
2026-07-13,45380.52,2,29,165,579,34.2,44.6,192.2,194.1,199.4
2026-07-14,44737.95,10,69,293,772,25.6,38.3,187.6,189.4,192.5
2026-07-15,45631.59,5,42,200,582,36.8,44.3,193.0,195.0,194.7
2026-07-16,45624.98,9,65,246,636,34.4,41.9,188.8,190.7,190.1
2026-07-17,42671.27,53,222,504,960,19.5,29.5,174.6,176.3,172.9
2026-07-20,42449.7,91,273,557,974,20.6,28.3,170.8,172.5,168.2
2026-07-21,44232.87,43,154,401,816,26.8,31.9,178.7,180.5,175.3
2026-07-22,44825.78,19,71,277,748,26.3,33.7,185.1,186.9,181.8
2026-07-23,44850.81,22,83,290,760,25.0,31.9,183.6,185.5,180.7
2026-07-24,43654.84,31,122,350,840,23.2,29.9,176.3,178.0,172.9
2026-07-27,43634.19,32,117,337,841,23.3,29.0,176.9,178.6,174.7
2026-07-28,41603.36,96,287,596,1033,13.9,21.2,165.8,167.4,163.4
2026-07-29,40039.18,188,426,736,1132,12.4,17.8,159.9,161.5,157.0
2026-07-30,39933.3,246,480,765,1164,9.8,15.4,157.6,159.1,152.6
2026-07-31,43119.75,73,230,519,970,16.9,19.5,169.3,171.0,163.4
