date,taiex,maint_130,maint_140,maint_150,maint_160,ma20_pct,ma60_pct,total_margin_ratio,twse_margin_ratio,tpex_margin_ratio
2024-08-01,22642.1,3,11,56,489,32.2,41.3,174.6,176.4,182.7
2024-08-02,21638.09,9,32,202,772,17.6,30.1,166.6,168.3,174.6
2024-08-05,19830.88,51,341,968,1418,4.2,10.8,153.2,154.7,158.6
2024-08-06,20501.02,96,451,953,1382,3.7,10.1,153.5,155.1,157.2
2024-08-07,21295.28,15,78,451,1114,8.5,16.5,163.3,165.0,166.5
2024-08-08,20870.1,18,94,460,1128,9.4,16.0,161.2,162.8,165.6
2024-08-09,21469.0,8,43,280,925,16.4,20.5,164.9,166.6,168.9
2024-08-12,21773.26,4,19,155,746,22.3,23.0,168.4,170.1,173.2
2024-08-13,21796.57,3,15,116,661,27.3,24.5,169.6,171.3,175.4
2024-08-14,22027.25,2,10,65,554,31.8,26.4,170.5,172.2,175.8
2024-08-15,21895.17,1,3,43,458,34.9,27.3,170.3,172.0,178.2
2024-08-16,22349.33,0,3,19,281,45.1,30.3,173.9,175.6,183.1
2024-08-19,22409.63,0,3,9,192,50.7,31.6,175.0,176.7,184.9
2024-08-20,22429.1,0,1,6,135,56.6,31.8,175.7,177.5,187.1
2024-08-21,22237.89,0,2,5,136,57.4,31.6,174.4,176.1,185.5
2024-08-22,22148.83,0,1,6,121,59.8,32.0,172.5,174.2,184.8
2024-08-23,22158.05,0,3,5,115,62.7,32.3,174.6,176.3,184.5
2024-08-26,22240.12,0,2,11,98,66.9,33.3,174.5,176.3,182.9
2024-08-27,22185.0,0,2,4,62,69.3,34.2,175.6,177.3,185.9
2024-08-28,22370.66,0,0,2,56,73.0,36.4,176.5,178.2,185.3
2024-08-29,22201.85,0,0,2,52,74.9,36.0,176.2,178.0,184.1
2024-08-30,22268.09,0,0,2,33,80.7,38.6,176.7,178.5,185.1
