date,taiex,maint_130,maint_140,maint_150,maint_160,ma20_pct,ma60_pct,total_margin_ratio,twse_margin_ratio,tpex_margin_ratio
2024-06-03,21536.76,0,0,6,65,64.8,67.2,186.2,188.1,204.2
2024-06-04,21356.62,0,0,7,74,61.1,66.5,183.9,185.8,200.4
2024-06-05,21484.88,0,0,7,83,58.5,64.7,183.2,185.0,198.9
2024-06-06,21902.7,0,1,5,115,52.4,61.0,183.3,185.1,198.2
2024-06-07,21858.38,0,1,3,63,63.6,66.5,184.8,186.7,199.7
2024-06-11,21792.12,0,1,7,154,50.7,61.0,182.6,184.4,197.2
2024-06-12,22048.96,0,0,6,165,47.7,60.3,183.7,185.6,198.9
2024-06-13,22312.04,0,0,2,140,49.9,61.3,186.4,188.3,201.5
2024-06-14,22504.72,0,0,3,111,54.6,64.1,187.6,189.5,200.3
2024-06-17,22496.53,0,0,4,106,57.3,65.9,187.9,189.8,201.6
2024-06-18,22757.43,0,0,8,111,57.0,66.1,188.1,190.0,202.6
2024-06-19,23209.54,0,0,7,138,51.9,64.8,186.9,188.8,198.9
2024-06-20,23406.1,0,0,5,88,60.7,68.2,189.9,191.8,202.7
2024-06-21,23253.39,0,0,5,95,60.7,69.1,188.7,190.6,201.3
2024-06-24,22813.7,0,0,12,154,52.5,65.0,185.3,187.1,197.8
2024-06-25,22875.97,1,1,10,149,53.3,65.2,185.3,187.2,196.4
2024-06-26,22986.69,1,2,7,126,53.7,65.8,186.6,188.4,197.9
2024-06-27,22905.98,0,2,12,186,48.8,61.7,185.1,187.0,196.6
2024-06-28,23032.25,0,2,7,126,54.6,63.9,187.0,188.9,201.1
