date,taiex,maint_130,maint_140,maint_150,maint_160,ma20_pct,ma60_pct,total_margin_ratio,twse_margin_ratio,tpex_margin_ratio
2025-06-02,21002.71,1,2,38,501,29.8,31.4,164.3,165.9,170.3
2025-06-03,21126.93,1,1,40,506,29.3,32.4,165.4,167.0,171.7
2025-06-04,21618.09,1,1,14,318,37.9,38.4,168.6,170.3,174.5
2025-06-05,21674.43,1,1,17,316,36.9,38.7,169.2,170.9,177.0
2025-06-06,21660.66,1,1,15,319,35.7,40.5,169.0,170.7,178.2
2025-06-09,21790.29,1,1,23,392,33.5,39.4,169.3,170.9,178.9
2025-06-10,22242.14,1,1,13,280,39.9,43.7,171.8,173.5,183.3
2025-06-11,22470.1,0,1,10,252,43.6,45.1,173.0,174.7,184.4
2025-06-12,22287.82,0,1,6,224,44.1,46.8,171.9,173.7,185.2
2025-06-13,22072.95,0,1,24,424,31.2,40.6,169.1,170.8,181.6
2025-06-16,22049.9,0,3,23,403,33.3,42.4,169.7,171.4,182.4
2025-06-17,22211.59,0,3,17,350,35.2,44.0,170.0,171.7,182.1
2025-06-18,22356.73,1,3,12,275,39.2,46.1,170.5,172.2,182.8
2025-06-19,22003.5,1,3,28,496,28.3,39.6,166.5,168.2,180.1
2025-06-20,22045.74,2,5,45,608,24.4,36.3,164.7,166.3,177.9
2025-06-23,21732.02,2,6,65,711,22.5,34.1,165.3,167.0,177.7
2025-06-24,22188.76,1,2,26,348,36.1,43.9,169.9,171.6,185.4
2025-06-25,22430.61,1,2,20,299,38.7,46.1,171.1,172.8,187.1
2025-06-26,22492.34,1,1,16,196,45.1,49.9,170.9,172.6,186.6
2025-06-27,22580.08,1,1,12,180,47.6,51.5,170.9,172.6,186.0
2025-06-30,22256.02,2,2,22,282,37.0,47.2,170.9,172.6,184.4
