date,taiex,maint_130,maint_140,maint_150,maint_160,ma20_pct,ma60_pct,total_margin_ratio,twse_margin_ratio,tpex_margin_ratio
2026-03-02,35095.09,3,5,26,203,53.9,57.3,200.6,202.6,214.2
2026-03-03,34323.65,3,9,42,340,43.2,50.1,193.9,195.8,209.9
2026-03-04,32828.88,6,21,183,787,22.4,32.8,182.9,184.8,200.1
2026-03-05,33672.94,5,8,65,502,33.2,39.9,189.7,191.6,207.6
2026-03-06,33599.54,4,8,50,415,38.2,43.5,189.1,191.0,207.8
2026-03-09,32110.42,7,34,233,890,19.1,28.4,177.4,179.2,193.0
2026-03-10,32771.87,6,19,110,689,26.3,33.4,183.3,185.2,202.1
2026-03-11,34114.19,6,7,46,375,41.6,42.1,193.1,195.1,214.4
2026-03-12,33581.86,6,10,61,429,38.4,40.0,190.7,192.6,210.6
2026-03-13,33400.32,5,9,58,436,39.1,40.7,191.0,192.9,209.7
2026-03-16,33342.51,4,10,49,371,42.0,42.0,193.4,195.3,213.3
2026-03-17,33836.57,4,7,36,262,49.8,45.7,196.0,197.9,213.9
2026-03-18,34348.58,3,5,21,217,52.1,47.2,200.0,202.0,221.0
2026-03-19,33689.68,3,5,43,323,43.1,43.5,199.2,201.2,223.4
2026-03-20,33543.88,3,6,30,318,43.9,44.2,196.7,198.7,221.9
2026-03-23,32722.5,3,9,77,529,32.7,38.1,188.2,190.1,210.9
2026-03-24,32612.24,3,8,65,490,32.1,37.1,185.1,187.0,207.8
2026-03-25,33439.11,3,4,26,293,41.4,42.1,192.4,194.4,217.5
2026-03-26,33337.62,2,5,32,329,39.8,40.3,190.5,192.4,215.6
2026-03-27,33112.59,2,3,35,318,41.0,39.1,191.1,193.0,217.3
2026-03-30,32518.16,2,6,58,420,35.2,35.6,188.2,190.1,215.0
2026-03-31,31722.99,1,21,125,653,24.1,28.9,178.9,180.7,202.7
