date,taiex,maint_130,maint_140,maint_150,maint_160,ma20_pct,ma60_pct,total_margin_ratio,twse_margin_ratio,tpex_margin_ratio
2026-02-02,31624.03,0,6,77,585,25.6,42.7,188.4,190.2,200.5
2026-02-03,32195.36,0,4,58,479,27.5,45.9,189.9,191.8,201.0
2026-02-04,32289.81,0,0,29,314,36.3,52.6,193.6,195.6,205.7
2026-02-05,31801.27,0,6,55,402,32.0,50.0,188.1,190.0,200.6
2026-02-06,31782.92,1,14,117,589,22.3,41.6,184.5,186.4,198.0
2026-02-09,32404.62,0,8,95,540,26.5,44.5,188.4,190.2,201.5
2026-02-10,33072.97,1,12,82,515,28.2,45.9,189.2,191.1,201.1
2026-02-11,33605.71,1,11,73,510,32.0,47.3,190.7,192.6,203.3
2026-02-23,33773.26,1,2,32,270,45.6,57.6,194.9,196.8,209.2
2026-02-24,34700.82,1,2,19,226,50.0,57.7,200.4,202.4,216.4
2026-02-25,35413.07,1,3,27,218,51.5,57.5,199.6,201.5,210.9
2026-02-26,35414.49,2,4,22,170,57.3,59.3,200.9,202.9,213.1
