date,taiex,maint_130,maint_140,maint_150,maint_160,ma20_pct,ma60_pct,total_margin_ratio,twse_margin_ratio,tpex_margin_ratio
2024-11-01,22780.08,1,2,26,276,33.7,43.0,169.2,170.9,177.7
2024-11-04,22965.39,0,3,28,359,30.1,38.8,169.2,170.9,176.7
2024-11-05,23106.79,0,5,27,313,31.8,38.9,170.6,172.3,178.9
2024-11-06,23217.38,0,8,21,265,35.4,39.4,171.6,173.3,179.7
2024-11-07,23408.82,0,3,14,175,47.7,44.2,173.7,175.4,182.3
2024-11-08,23553.89,0,5,24,290,39.3,40.4,173.0,174.7,182.4
2024-11-11,23529.64,1,4,44,342,39.3,39.8,173.0,174.7,181.1
2024-11-12,22981.77,2,14,93,535,27.9,32.7,169.1,170.8,177.4
2024-11-13,22860.23,1,9,85,546,26.8,32.2,168.9,170.6,176.6
2024-11-14,22715.38,2,15,136,714,21.2,27.6,167.0,168.6,174.0
2024-11-15,22742.77,1,9,100,617,24.2,28.9,166.9,168.6,172.7
2024-11-18,22546.54,3,18,167,718,20.8,25.6,163.3,164.9,167.9
2024-11-19,22848.8,4,8,76,527,27.4,29.5,166.9,168.5,171.6
2024-11-20,22688.36,4,11,83,553,26.1,29.2,166.6,168.2,173.3
2024-11-21,22555.66,4,8,52,463,30.5,31.0,167.8,169.4,176.0
2024-11-22,22904.32,3,6,30,335,36.6,34.2,169.7,171.4,178.1
2024-11-25,22948.37,3,4,18,201,47.4,38.7,171.8,173.5,180.9
2024-11-26,22678.76,3,4,23,225,45.7,37.4,170.3,172.0,180.5
2024-11-27,22334.78,3,11,45,383,31.6,30.4,166.5,168.2,177.5
2024-11-28,22298.9,3,11,64,480,25.5,26.5,165.1,166.8,176.9
2024-11-29,22262.5,2,7,36,329,31.6,30.2,167.3,169.0,179.5
