date,taiex,maint_130,maint_140,maint_150,maint_160,ma20_pct,ma60_pct,total_margin_ratio,twse_margin_ratio,tpex_margin_ratio
2024-10-01,22390.39,2,4,26,118,64.9,44.8,174.4,176.2,189.2
2024-10-04,22302.71,3,6,32,189,54.9,42.2,172.4,174.1,187.0
2024-10-07,22702.56,2,4,23,136,63.4,48.4,174.8,176.6,190.3
2024-10-08,22611.39,2,5,27,164,53.2,43.4,173.4,175.1,188.9
2024-10-09,22659.08,3,7,36,259,42.1,39.5,171.8,173.5,187.1
2024-10-11,22901.64,3,8,54,323,38.3,36.3,171.9,173.6,186.5
2024-10-14,22975.29,3,6,40,296,39.9,38.8,173.3,175.1,187.1
2024-10-15,23292.04,3,8,46,303,38.6,39.1,173.2,175.0,186.6
2024-10-16,23010.98,4,6,33,288,38.3,40.0,172.8,174.5,185.3
2024-10-17,23053.84,4,6,24,191,42.5,44.8,173.7,175.4,185.1
2024-10-18,23487.27,4,7,28,279,37.4,42.6,172.6,174.3,183.7
2024-10-21,23542.53,2,5,25,171,45.3,47.7,175.2,177.0,187.0
2024-10-22,23535.43,1,6,22,168,45.1,47.9,175.9,177.6,187.3
2024-10-23,23334.76,0,5,18,153,46.4,49.0,176.1,177.9,188.0
2024-10-24,23192.52,2,7,24,218,39.0,46.6,172.3,174.0,183.2
2024-10-25,23348.45,2,4,24,209,41.5,47.5,173.2,174.9,184.1
2024-10-28,23198.07,2,6,27,272,35.9,45.2,170.5,172.2,179.7
2024-10-29,22926.59,1,8,36,410,27.4,39.8,168.3,169.9,177.3
2024-10-30,22820.43,1,7,35,418,26.5,39.3,167.4,169.1,174.1
