date,taiex,maint_130,maint_140,maint_150,maint_160,ma20_pct,ma60_pct,total_margin_ratio,twse_margin_ratio,tpex_margin_ratio
2025-10-01,25982.91,1,6,26,272,37.2,48.4,186.0,187.8,219.3
2025-10-02,26378.39,1,4,22,304,35.5,46.5,187.1,188.9,221.7
2025-10-03,26761.06,1,2,21,323,34.2,45.5,188.5,190.4,222.9
2025-10-07,27211.95,1,1,24,256,37.2,46.7,190.8,192.7,224.1
2025-10-08,27063.68,1,2,19,246,38.5,46.1,189.7,191.5,221.5
2025-10-09,27301.92,2,3,20,272,39.4,46.1,189.0,190.9,218.4
2025-10-13,26923.42,2,5,37,394,32.9,41.1,184.8,186.7,211.7
2025-10-14,26793.15,2,7,72,540,25.7,35.6,177.9,179.7,199.9
2025-10-15,27275.71,1,5,47,482,29.3,36.7,181.6,183.4,206.3
2025-10-16,27647.87,1,3,32,360,34.7,39.6,183.7,185.5,205.9
2025-10-17,27302.37,0,7,43,385,34.3,39.3,181.9,183.8,203.9
2025-10-20,27688.63,0,6,35,351,35.6,38.3,183.6,185.5,203.8
2025-10-21,27752.41,0,1,19,227,39.5,39.8,185.3,187.1,206.5
2025-10-22,27648.91,0,2,20,183,46.1,42.7,184.3,186.1,203.4
2025-10-23,27532.26,0,4,17,216,43.1,41.2,182.4,184.2,199.7
2025-10-27,27993.63,0,2,14,188,44.0,40.6,185.8,187.7,202.6
2025-10-28,27949.11,0,2,19,253,37.8,37.1,186.3,188.2,204.6
2025-10-29,28294.74,0,3,17,244,38.5,36.9,186.5,188.4,202.0
2025-10-30,28287.53,0,2,22,330,34.3,35.9,185.6,187.5,200.5
2025-10-31,28233.35,1,3,17,294,34.6,35.1,186.5,188.4,202.3
